Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,1.225,55.698,1.006
Tetrahedral,0.474,53.24,0.893
Tetrahedral,0.751,53.396,1.204
Tetrahedral,1.056,52.926,0.419
Tetrahedral,0.743,50.862,1.595
Tetrahedral,0.886,49.173,0.603
Tetrahedral,1.043,37.276,1.214
Tetrahedral,1.459,28.884,0.391
Tetrahedral,0.496,36.731,0.501
Tetrahedral,0.546,30.75,0.737
Tetrahedral,0.772,32.213,0.449
Tetrahedral,0.85,35.406,0.54
Tetrahedral,0.504,32.89,1.042
Tetrahedral,1.128,38.275,0.562
Tetrahedral,1.044,38.637,0.702
Tetrahedral,0.598,36.122,0.728
Tetrahedral,0.644,38.085,0.872
Tetrahedral,0.952,41.239,0.968
Tetrahedral,0.642,34.847,0.471
Tetrahedral,0.518,41.31,0.98
Tetrahedral,0.432,42.565,0.718
Tetrahedral,0.845,55.372,0.809
Tetrahedral,0.665,52.647,0.431
Tetrahedral,0.546,46.246,0.742
Tetrahedral,0.734,50.295,0.923
Tetrahedral,0.273,42.393,1.04
Tetrahedral,1.146,45.122,0.52
Tetrahedral,1.439,51.897,0.804
Tetrahedral,0.815,50.909,0.599
Tetrahedral,0.719,45.661,0.669
Tetrahedral,1.163,47.774,1.36
Tetrahedral,0.558,52.02,0.492
Tetrahedral,1.114,41.92,0.689
Tetrahedral,0.83,48.059,1.303
Tetrahedral,0.759,48.318,0.707
Tetrahedral,0.917,40.816,0.444
Tetrahedral,1.08,43.48,0.902
Tetrahedral,0.7,45.995,1.278
Tetrahedral,0.735,54.646,0.464
Tetrahedral,0.636,57.403,0.391
Tetrahedral,0.584,52.273,0.516
Tetrahedral,0.818,51.236,1.061
Tetrahedral,1.025,51.264,0.442
Tetrahedral,0.963,62.06,0.786
Tetrahedral,1.406,60.625,0.591
Tetrahedral,0.685,67.441,0.498
Tetrahedral,0.434,65.393,0.76
Tetrahedral,0.903,58.746,0.666
Tetrahedral,1.334,59.451,1.097
Tetrahedral,0.684,57.789,0.493
Tetrahedral,0.5,52.124,0.73
Tetrahedral,0.931,48.629,0.685
Tetrahedral,0.692,61.975,0.699
Tetrahedral,0.506,62.325,0.75
Tetrahedral,0.449,58.089,0.492
Tetrahedral,1.287,57.449,0.452
Tetrahedral,1.193,51.197,0.665
Tetrahedral,0.916,67.735,0.461
Tetrahedral,0.81,87.382,0.853
Tetrahedral,0.713,80.798,0.836
Tetrahedral,1.219,76.699,1.061
Tetrahedral,1.66,44.714,1.027
Tetrahedral,0.509,43.605,0.651
Tetrahedral,1.045,56.804,1.577
Tetrahedral,1.147,64.097,0.645
Tetrahedral,1.232,76.692,0.863
Tetrahedral,0.778,84.73,0.942
Tetrahedral,1.409,92.924,1.12
Tetrahedral,0.773,95.757,0.851
Tetrahedral,0.455,95.298,0.83
Tetrahedral,0.9,94.931,0.924
Tetrahedral,0.692,96.521,0.763
Tetrahedral,1.169,87.605,0.425
Tetrahedral,1.062,95.799,0.666
Tetrahedral,1.491,94.632,0.624
Tetrahedral,0.795,94.504,0.926
Tetrahedral,0.589,92.575,1
Tetrahedral,0.581,96.211,0.605
